# timestamp x y z qx qy qz qw latency
0.000000000 0.659034848 1.786868112 0.001870542 -0.680456090 0.204556875 -0.174079746 0.681786064 0.000000000
0.103735900 0.897164630 2.187359668 -0.066443587 -0.675875075 0.207506071 -0.177281122 0.684620711 0.000000000
0.207338100 1.247043269 2.788117522 -0.109712998 -0.672119886 0.209504545 -0.180109013 0.686966847 0.000000000
0.311075200 1.628348775 3.447082957 -0.148277328 -0.668834743 0.211144165 -0.182394363 0.689064964 0.000000000
0.414691700 2.012923455 4.114851340 -0.198868781 -0.666086012 0.212339369 -0.184191629 0.690879773 0.000000000
0.518430200 2.397750547 4.787832884 -0.259239753 -0.663783726 0.213337573 -0.185455537 0.692448185 0.000000000
0.622044800 2.781525894 5.465855614 -0.326256518 -0.661908181 0.213944930 -0.186357922 0.693812548 0.000000000
0.725797700 3.166003474 6.155141162 -0.392385064 -0.660491318 0.214159537 -0.186902196 0.694949265 0.000000000
0.829419900 3.551848280 6.853508515 -0.446930056 -0.659597782 0.214150319 -0.186966554 0.695782951 0.000000000
0.933146700 3.940093493 7.561381085 -0.488644838 -0.659205854 0.213936313 -0.186537906 0.696335053 0.000000000
1.036910000 4.328534287 8.280538394 -0.515512714 -0.659281272 0.213549421 -0.185687388 0.696609678 0.000000000
1.140497000 4.717685380 9.003346293 -0.527358778 -0.659717403 0.212880227 -0.184513962 0.696713395 0.000000000
1.244242000 5.105578431 9.734667090 -0.530028149 -0.660492645 0.212025179 -0.182984520 0.696642990 0.000000000
1.347979000 5.497435947 10.469817498 -0.525451203 -0.661578318 0.211044696 -0.181031392 0.696420778 0.000000000
1.451596000 5.890904619 11.211594749 -0.516272526 -0.663038416 0.209837180 -0.178734652 0.695990188 0.000000000
1.555212000 6.291805838 11.961627678 -0.500883366 -0.664292459 0.208407357 -0.176525966 0.695787673 0.000000000
1.658960000 6.690365116 12.718444259 -0.485375537 -0.666405172 0.206713441 -0.173581280 0.695013122 0.000000000
1.762569000 7.091517647 13.487127056 -0.473324264 -0.667951389 0.204757669 -0.171071622 0.694729975 0.000000000
1.866302000 7.492900052 14.262116267 -0.465713943 -0.670153445 0.203332457 -0.168622783 0.693625712 0.000000000
1.969923000 7.895402257 15.044633663 -0.459560500 -0.671356200 0.202271477 -0.167390083 0.693071182 0.000000000
2.073666000 8.301216126 15.836739634 -0.444933468 -0.671880836 0.201652793 -0.166604955 0.692932235 0.000000000
2.177281000 8.707070418 16.633542455 -0.432351087 -0.672645513 0.201049606 -0.165764592 0.692567087 0.000000000
2.281017000 9.117473921 17.435556423 -0.417472716 -0.673333969 0.200100404 -0.164762332 0.692412137 0.000000000
2.384639000 9.531525843 18.243134458 -0.405948020 -0.673838430 0.198975527 -0.163508632 0.692542734 0.000000000
2.488250000 9.947732785 19.051337652 -0.397187060 -0.674126914 0.197645305 -0.162352077 0.692914886 0.000000000
2.591988000 10.373022007 19.867477795 -0.394561219 -0.674677816 0.197025543 -0.161880441 0.692665506 0.000000000
2.695832000 10.796650563 20.692345867 -0.389004074 -0.675521593 0.197168331 -0.162337774 0.691694784 0.000000000
2.799367000 11.218893023 21.522305693 -0.381965818 -0.676326211 0.197174106 -0.163157906 0.690713201 0.000000000
2.903084000 11.646414755 22.358156837 -0.373715170 -0.676725877 0.196514526 -0.163962498 0.690319077 0.000000000
3.006768000 12.074180503 23.200315505 -0.368972230 -0.677515559 0.195394012 -0.164085351 0.689833201 0.000000000
3.110441000 12.505954798 24.037707436 -0.366478776 -0.678505283 0.193575308 -0.163268733 0.689566894 0.000000000
3.214057000 12.939427012 24.876535300 -0.370618464 -0.679631390 0.190993650 -0.161520687 0.689589491 0.000000000
3.317669000 13.379944540 25.723726915 -0.378343605 -0.680176440 0.188822066 -0.160471107 0.689895110 0.000000000
3.421285000 13.827847255 26.574232938 -0.384979236 -0.679805709 0.188223563 -0.160779948 0.690352010 0.000000000
3.524925000 14.278389769 27.432108294 -0.386379947 -0.679290647 0.189185077 -0.161812861 0.690354852 0.000000000
3.628545000 14.732065866 28.290200218 -0.380476861 -0.678243423 0.189984329 -0.162400241 0.691026754 0.000000000
3.732256000 15.194210560 29.148586079 -0.371380208 -0.676421763 0.189581944 -0.161877881 0.693042450 0.000000000
3.835871000 15.662848915 30.007867297 -0.366493593 -0.676252366 0.188638499 -0.159753654 0.693957509 0.000000000
3.939488000 16.125178485 30.876918705 -0.368357818 -0.677039081 0.187600271 -0.157177639 0.694060092 0.000000000
4.043107000 16.586205219 31.753184603 -0.371655863 -0.677663389 0.187298062 -0.155277301 0.693960177 0.000000000
4.146888000 17.045209883 32.634185642 -0.370450762 -0.677955567 0.188052445 -0.155018917 0.693528415 0.000000000
4.250460000 17.501842724 33.521258911 -0.360700488 -0.678897042 0.189212610 -0.155077191 0.692277733 0.000000000
4.354202000 17.952340651 34.409757444 -0.351491776 -0.679094768 0.189724349 -0.154788490 0.692008303 0.000000000
4.457940000 18.401950702 35.289634152 -0.339271154 -0.679445597 0.190258974 -0.154683209 0.691540532 0.000000000
4.561559000 18.851635759 36.171116463 -0.328673623 -0.679770837 0.191282999 -0.155620462 0.690727656 0.000000000
4.665293000 19.299340685 37.058705896 -0.322838249 -0.681510835 0.191604855 -0.155280050 0.688998307 0.000000000
4.768912000 19.739711288 37.941704601 -0.321752352 -0.682072018 0.191329876 -0.155014997 0.688578965 0.000000000
4.872532000 20.183704160 38.824806521 -0.318522056 -0.682640821 0.190232932 -0.154187780 0.688504952 0.000000000
4.976146000 20.625889623 39.712113522 -0.324697115 -0.683732733 0.188966905 -0.153174765 0.687996039 0.000000000
5.079909000 21.067425801 40.604196527 -0.333783677 -0.683891261 0.188502452 -0.152533517 0.688108345 0.000000000
5.183503000 21.515191563 41.489844427 -0.338129794 -0.683405424 0.188559975 -0.152435458 0.688596829 0.000000000
5.287117000 21.962628713 42.367701440 -0.337765789 -0.683771943 0.188616589 -0.152119501 0.688287272 0.000000000
5.390861000 22.405476593 43.242234710 -0.326652730 -0.685261308 0.187620270 -0.150804320 0.687367173 0.000000000
5.494473000 22.842911831 44.115581285 -0.326996358 -0.685774907 0.185847446 -0.149134496 0.687700811 0.000000000
5.598233000 23.276735760 44.986339978 -0.332206767 -0.685911499 0.185381755 -0.148862296 0.687749255 0.000000000
5.701829000 23.709390975 45.855072478 -0.331083361 -0.685557990 0.186049142 -0.150013909 0.687671278 0.000000000
5.805571000 24.146386361 46.720559026 -0.322381270 -0.684872201 0.186373366 -0.150848615 0.688084102 0.000000000
5.909185000 24.583919253 47.581546262 -0.312140424 -0.684410619 0.186155699 -0.151071452 0.688553249 0.000000000
