# timestamp x y z qx qy qz qw latency
0.000000000 0.669249144 1.777713089 -0.003860005 -0.678677071 0.211020915 -0.166738913 0.683422082 0.000000000
0.103735900 1.009179920 2.351086709 -0.007052223 -0.677939852 0.210475628 -0.165024720 0.684736744 0.000000000
0.207338100 1.354563951 2.948049932 -0.005952296 -0.677971421 0.208545701 -0.164245723 0.685482885 0.000000000
0.311075200 1.704683799 3.566327647 -0.007732055 -0.677801889 0.207335595 -0.163046859 0.686303338 0.000000000
0.414691700 2.065376940 4.201456807 -0.011869796 -0.678101032 0.205133338 -0.161951954 0.686928576 0.000000000
0.518430200 2.427457784 4.844897956 -0.008196343 -0.678307525 0.203910304 -0.160312213 0.687473260 0.000000000
0.622044800 2.799681703 5.507485412 -0.008931472 -0.678362859 0.201708190 -0.159409383 0.688277768 0.000000000
0.725797700 3.167513764 6.181318241 -0.010050885 -0.678738745 0.199093991 -0.158718110 0.688827888 0.000000000
0.829419900 3.548207551 6.875759691 -0.006597263 -0.679713288 0.197606959 -0.157144645 0.688655862 0.000000000
0.933146700 3.927151067 7.574849194 -0.006442835 -0.680887394 0.196543582 -0.155125306 0.688258031 0.000000000
1.036910000 4.308407920 8.291959899 0.002094834 -0.682135169 0.195919451 -0.153555312 0.687552140 0.000000000
1.140497000 4.692355729 9.005757094 0.003004872 -0.682116775 0.194385760 -0.153256243 0.688072239 0.000000000
1.244242000 5.072691161 9.730986103 0.003909554 -0.682176305 0.193823185 -0.152468244 0.688346931 0.000000000
1.347979000 5.466381160 10.462513303 0.002197539 -0.681820785 0.193924678 -0.151021007 0.688989326 0.000000000
1.451596000 5.868689323 11.199493510 0.004903788 -0.682246970 0.193497955 -0.149923492 0.688927108 0.000000000
1.555212000 6.268446126 11.949603646 0.006179795 -0.682102206 0.193418929 -0.148890685 0.689316518 0.000000000
1.658960000 6.659757218 12.711468881 0.011190773 -0.681700961 0.191802643 -0.149459469 0.690041603 0.000000000
1.762569000 7.061899741 13.474468444 0.017600522 -0.680993278 0.190969754 -0.149416528 0.690980036 0.000000000
1.866302000 7.459387841 14.252470737 0.025027324 -0.680963664 0.188922304 -0.150301023 0.691380108 0.000000000
1.969923000 7.871470274 15.046852776 0.032315096 -0.681288552 0.188208866 -0.150359300 0.691241935 0.000000000
2.073666000 8.280614632 15.831236322 0.041118644 -0.681790577 0.188185150 -0.149421907 0.690956621 0.000000000
